score,agreement,models,position,company,location,date,reason,url
"30","agree","opus 35 / haiku 25","Bluelight Consulting Fullstack PHP developer . Latin America","Bluelight Consulting","Argentina","2026-05-28","PHP ไม่ตรง stack แต่ full stack ได้","https://remoteok.com/remote-jobs/remote-bluelight-consulting-fullstack-php-developer-latin-america-bluelight-consulting-1132450"
"28","agree","opus 20 / haiku 35","Data Analyst","Fusemachines","Canada","2026-06-08","Data Analyst และอยู่ Canada timezone ไม่ดี","https://remoteok.com/remote-jobs/remote-data-analyst-fusemachines-1133041"
"25","agree","opus 20 / haiku 30","Data Analyst","Stio®","United States","2026-06-05","Data Analyst US timezone ไม่ตรงสาย","https://remoteok.com/remote-jobs/remote-data-analyst-stior-1132903"
"21","split","opus 30 / haiku 12","Senior Vue Developer","Lemon.io","Latin America | Europe | United States | Canada | Oceania | Japan | Singapore | South Korea | Philippines | Indonesia | Malaysia | Vietnam | Thailand | South Africa | Israel | Morocco | United Kingdom","2026-05-27","Senior Vue เกินระดับและไม่ตรง stack","https://remoteok.com/remote-jobs/remote-senior-vue-developer-lemon-io-1132383"
"21","split","opus 30 / haiku 12","Golang Software Developer","Winnow","Probably worldwide","2025-09-23","Golang ไม่ตรง stack แต่ remote ได้","https://remoteok.com/remote-jobs/remote-golang-software-developer-winnow-1128073"
"19","agree","opus 20 / haiku 18","Developer Relations Lead","OpenRouter","Probably worldwide","2026-01-28","DevRel Lead เกินระดับและไม่ใช่ coding","https://remoteok.com/remote-jobs/remote-developer-relations-lead-openrouter-1129850"
"18","split","opus 30 / haiku 5","Staff Software Engineer Infrastructure","Docker","Probably worldwide","2026-06-08","Docker น่าสนใจแต่ Staff ระดับสูงเกินไป","https://remoteok.com/remote-jobs/remote-staff-software-engineer-infrastructure-docker-1133025"
"18","agree","opus 25 / haiku 10","Senior ML Engineer","Clutch","Probably worldwide","2026-06-07","Senior ML เกินระดับ junior มาก","https://remoteok.com/remote-jobs/remote-senior-ml-engineer-clutch-1132963"
"18","split","opus 28 / haiku 8","Senior Software Engineer","Stellar AI","Europe | North America | United Kingdom | Australia | New Zealand | Contractor","2026-06-03","Senior role เกินระดับ junior","https://remoteok.com/remote-jobs/remote-senior-software-engineer-stellar-ai-1128869"
"18","agree","opus 15 / haiku 20",".NET Developer Advocate","JetBrains","Amsterdam","2026-05-12",".NET advocate ไม่ตรง stack เลย","https://remoteok.com/remote-jobs/remote-net-developer-advocate-jetbrains-1131563"
"18","agree","opus 10 / haiku 25","Field Service Engineer Australia","Dexory","Australia","2026-04-29","Field Service Engineer ไม่ใช่ software","https://remoteok.com/remote-jobs/remote-field-service-engineer-australia-dexory-1132464"
"16","split","opus 25 / haiku 6","Senior Software Developer Burnaby","Geotab","Burnaby","2026-05-01","Senior role เกินระดับ junior","https://remoteok.com/remote-jobs/remote-senior-software-developer-burnaby-geotab-1131407"
"15","split","opus 25 / haiku 5","Senior Software Engineer","Atom Computing","Probably worldwide","2026-06-01","Senior role เกินระดับ junior","https://remoteok.com/remote-jobs/remote-senior-software-engineer-atom-computing-1132662"
"15","agree","opus 10 / haiku 20","Freelance Solutions Architect Braze & Iterable Experience","APPLY","United Kingdom","2026-05-30","Braze/Iterable marketing tools หลีกเลี่ยง","https://remoteok.com/remote-jobs/remote-freelance-solutions-architect-braze-amp-iterable-experience-apply-1132557"
"15","agree","opus 22 / haiku 8","Senior Golang Developer","TRE ALTAMIRA Srl","Probably worldwide","2026-05-14","Senior Golang เกินระดับและไม่ตรง stack","https://remoteok.com/remote-jobs/remote-senior-golang-developer-tre-altamira-srl-1131593"
"15","agree","opus 22 / haiku 7","Senior Golang Full Stack Developer","GRAX","Probably worldwide","2025-10-23","Senior Golang full stack เกินระดับ","https://remoteok.com/remote-jobs/remote-senior-golang-full-stack-developer-grax-1128539"
"14","agree","opus 12 / haiku 15","Open Source Developer Golang","OpenZeppelin","Probably worldwide","2025-08-08","OpenZeppelin Golang blockchain หลีกเลี่ยง","https://remoteok.com/remote-jobs/remote-open-source-developer-golang-openzeppelin-1093784"
"13","agree","opus 20 / haiku 6","Senior Golang Developer","Group IB","Probably worldwide","2025-11-02","Senior Golang เกินระดับและไม่ตรง stack","https://remoteok.com/remote-jobs/remote-senior-golang-developer-group-ib-1128764"
"12","agree","opus 8 / haiku 15","Junior Business Developer Bangalore F M X","LittleBig Connection","Worldwide","2026-06-02","Business Developer คือ sales หลีกเลี่ยง","https://remoteok.com/remote-jobs/remote-junior-business-developer-bangalore-f-m-x-littlebig-connection-1132871"
"12","agree","opus 18 / haiku 5","Senior Staff Ruby on Rails Engineer","Housecall Pro","Brazil | Mexico | Argentina | Colombia | Uruguay | Contractor","2025-08-15","Senior Staff Ruby เกินระดับมาก","https://remoteok.com/remote-jobs/remote-senior-staff-ruby-on-rails-engineer-housecall-pro-1093828"
"7","agree","opus 5 / haiku 8","Aztec smart contracts and Javascript front end dev","Cloak","Worldwide","2025-08-15","Aztec smart contracts blockchain หลีกเลี่ยง","https://remoteok.com/remote-jobs/remote-aztec-smart-contracts-and-javascript-front-end-dev-cloak-1093827"
"6","agree","opus 8 / haiku 3","Senior Manager Developer Evangelism","Twilio","Worldwide | United States","2026-04-16","Senior Manager evangelism หลีกเลี่ยง","https://remoteok.com/remote-jobs/remote-senior-manager-developer-evangelism-twilio-1131165"
